"","COUNTY","YEAR_1","CASEID_1","BLS_CAREHH_KID_1","BLS_CAREHH_KIDEDUC_1","BLS_CAREHH_KIDHEALTH_1","BLS_CAREHH_KIDOTHER_1","BLS_EDUC_1","BLS_FOOD_1","BLS_HHACT_HHMGMT_1","BLS_LEIS_ARTS_1","BLS_LEIS_ATTEND_1","BLS_LEIS_ATTSPORT_1","BLS_LEIS_PARTSPORT_1","BLS_LEIS_RELAX_1","BLS_LEIS_SOC_1","BLS_LEIS_SPORT_1","BLS_LEIS_TV_1","BLS_PCARE_1","BLS_PCARE_HEALTH_1","BLS_PURCH_BANK_1","BLS_PURCH_CONS_1","BLS_PURCH_GROC_1","BLS_PURCH_HEALTH_1","BLS_PURCH_HHSERV_1","BLS_PURCH_PCARE_1","BLS_PURCH_PROF_1","BLS_SOCIAL_RELIG_1","BLS_SOCIAL_VOLACT_1","BLS_WORK_OTHER_1","BLS_WORK_WORKING_1","BLS_WORK_WORKREL_1"
"44",8123,2019,20190616635997.8,12,5.55555555555556,0,6.44444444444444,52.7777777777778,58.8888888888889,23.4444444444444,0,0,0,37.2222222222222,278.777777777778,322.666666666667,37.2222222222222,215.444444444444,562.333333333333,0.555555555555556,0,26.6666666666667,15.5555555555556,0,0,0,0,11.6666666666667,6.66666666666667,0,124,0
"45",9000,2019,20190668459680.8,20.4615384615385,0,1.15384615384615,19.3076923076923,13.5576923076923,81.5961538461538,13.5576923076923,1.82692307692308,7.26923076923077,9.61538461538461,16.4423076923077,271.173076923077,314.538461538462,26.0576923076923,214.653846153846,584.807692307692,0.5,0,26.7692307692308,8.5,1.73076923076923,1.53846153846154,1.34615384615385,6.34615384615385,1.63461538461538,3.07692307692308,0,127.557692307692,0
"46",9001,2019,20190557412874.7,21.1111111111111,1.11111111111111,0,20,10.9259259259259,76.8518518518518,19.1481481481481,3.7037037037037,0,9.62962962962963,19.5185185185185,259.37037037037,307.407407407407,29.1481481481481,178.259259259259,606,2.03703703703704,0.925925925925926,14.5185185185185,2.62962962962963,0.925925925925926,5,0,1.85185185185185,11.4814814814815,17.2222222222222,20.2222222222222,126.740740740741,0
"47",9005,2019,20190781941350.8,77.5,0,0,77.5,0,76.25,1.25,0,0,0,7.5,541.25,556.25,7.5,378.75,541.25,26.25,0,20,0,0,0,0,0,0,0,0,0,0
"48",9009,2019,20190582989571.2,28,6,0,22,0.4,58.4,8.4,6,18,7.2,32.4,211.4,273.8,39.6,168.4,598.12,0.4,0,19.8,11.2,1.2,0.2,1.28,2.48,12.8,2.6,9,225.8,0
"49",9015,2019,20190965620509.6,25.7142857142857,0,5,20.7142857142857,0,48,0.714285714285714,0,0,21.4285714285714,0,281.714285714286,281.714285714286,21.4285714285714,256,600.285714285714,21.4285714285714,0.428571428571429,32.1428571428571,6.42857142857143,0,0,0,0.428571428571429,0,2.85714285714286,0,277,0
"50",10001,2019,20190506588867,45,0,0,45,0,29,2,0,0,0,0,373,448,0,275,616.4,1,0,45.6,21,0,0,0,0,12,1,0,0,0
"51",10003,2019,20190645278093.8,17.3913043478261,2.60869565217391,0,14.7826086956522,0,80.695652173913,1.73913043478261,3.91304347826087,0,0,7.39130434782609,289.478260869565,314.913043478261,7.39130434782609,211,624.739130434783,18.6086956521739,0,18.695652173913,4.34782608695652,2.60869565217391,1.95652173913043,0,2.60869565217391,10.8695652173913,3.91304347826087,0,183.04347826087,0
"52",10005,2019,20190708189372,2.33333333333333,0,0,2.33333333333333,0,95.8333333333333,25.6666666666667,0,25,0,11.6666666666667,193,218,11.6666666666667,123,718.333333333333,3.33333333333333,0,55.5,40,0,0,0,0,0,59.3333333333333,0,59.1666666666667,0
"53",11001,2019,20190669951433.9,2.48,0.4,0,2.08,7.2,68.48,21.28,10.8,0,0,25.4,259.68,308.48,25.4,176.92,589.6,5.2,0,32.8,6.6,1.2,0.4,2.4,8.4,11.6,21,0,165.12,0
"54",12000,2019,20190654027760.6,28.3023255813953,1.93798449612403,0.348837209302326,26.015503875969,10.8914728682171,72.8449612403101,8.7984496124031,2.71317829457364,3.09302325581395,1.86046511627907,11.1627906976744,290.868217054264,338.302325581395,13.1395348837209,216.821705426357,592.162790697674,18.4418604651163,0.426356589147287,32.1705426356589,10.8139534883721,6.17054263565892,0.813953488372093,0,7.68217054263566,11.906976744186,11.2480620155039,0,109.410852713178,0
"55",12005,2019,20190662905311.4,10.7142857142857,3.57142857142857,0,7.14285714285714,0,66.5714285714286,4.28571428571429,0,0,0,0,362.142857142857,382.714285714286,0,255,579.142857142857,0,0,0,0,0,0,0,0,0,0,0,231.857142857143,0
"56",12009,2019,20190550412024.4,22.2222222222222,0,0,22.2222222222222,10,62,13.3333333333333,0,0,0,22.2222222222222,392.555555555556,409.222222222222,22.2222222222222,240.333333333333,620.666666666667,26.1111111111111,0,21.6666666666667,16.6666666666667,48,2,0,48,7.77777777777778,24.4444444444444,0,0,0
