District,District Number,TEA District Type,TEA Description,NCES District Type,NCES Description,Charter School (Y/N)
TIOGA ISD,091907,F,Non-metropolitan Fast Growing,42,Rural-Distant,N
TOLAR ISD,111903,E,Independent Town,42,Rural-Distant,N
TOM BEAN ISD,091918,H,Rural,42,Rural-Distant,N
TOMBALL ISD,101921,B,Major Suburban,21,Suburb-Large,N
TORNILLO ISD,071908,G,Non-metropolitan Stable,41,Rural-Fringe,N
TREETOPS SCHOOL INTERNATIONAL,220801,I,Charter School Districts,11,City-Large,Y
TRENT ISD,221905,H,Rural,42,Rural-Distant,N
TRENTON ISD,074912,F,Non-metropolitan Fast Growing,42,Rural-Distant,N
TRINIDAD ISD,107907,H,Rural,42,Rural-Distant,N
TRINITY BASIN PREPARATORY,057813,I,Charter School Districts,11,City-Large,Y
TRINITY CHARTER SCHOOL,046802,I,Charter School Districts,41,Rural-Fringe,Y
TRINITY ISD,228903,G,Non-metropolitan Stable,41,Rural-Fringe,N
TRIUMPH PUBLIC HIGH SCHOOLS-EL PAS,071803,I,Charter School Districts,11,City-Large,Y
TRIUMPH PUBLIC HIGH SCHOOLS-LAREDO,240801,I,Charter School Districts,11,City-Large,Y
TRIUMPH PUBLIC HIGH SCHOOLS-LUBBOC,152803,I,Charter School Districts,11,City-Large,Y
TRIUMPH PUBLIC HIGH SCHOOLS-RIO GR,108804,I,Charter School Districts,22,Suburb-Midsize,Y
TRIVIUM ACADEMY,061805,I,Charter School Districts,21,Suburb-Large,Y
TROUP ISD,212904,G,Non-metropolitan Stable,42,Rural-Distant,N
TROY ISD,014910,G,Non-metropolitan Stable,41,Rural-Fringe,N
TULIA ISD,219903,G,Non-metropolitan Stable,33,Town-Remote,N
TULOSO-MIDWAY ISD,178912,D,Other Central City Suburban,11,City-Large,N
TURKEY-QUITAQUE ISD,096905,H,Rural,43,Rural-Remote,N
TWO DIMENSIONS PREPARATORY ACADEMY,101840,I,Charter School Districts,11,City-Large,Y
TYLER ISD,212905,C,Other Central City,12,City-Midsize,N
UME PREPARATORY ACADEMY,057845,I,Charter School Districts,41,Rural-Fringe,Y
UNION GROVE ISD,230908,H,Rural,41,Rural-Fringe,N
UNION HILL ISD,230904,H,Rural,42,Rural-Distant,N
UNITED ISD,240903,C,Other Central City,11,City-Large,N
UNIVERSAL ACADEMY,057808,I,Charter School Districts,21,Suburb-Large,Y
UNIVERSITY OF HOUSTON CHARTER SCHO,101807,I,Charter School Districts,11,City-Large,Y
UNIVERSITY OF TEXAS AT AUSTIN H S,227506,B,Major Suburban,11,City-Large,N
UNIVERSITY OF TEXAS ELEMENTARY CHA,227819,I,Charter School Districts,11,City-Large,Y
UNIVERSITY OF TEXAS UNIVERSITY CHA,227806,I,Charter School Districts,11,City-Large,Y
UPLIFT EDUCATION,057803,I,Charter School Districts,11,City-Large,Y
UT TYLER UNIVERSITY ACADEMY,212804,I,Charter School Districts,12,City-Midsize,Y
UTOPIA ISD,232904,H,Rural,43,Rural-Remote,N
UTPB STEM ACADEMY,068803,I,Charter School Districts,12,City-Midsize,Y
UVALDE CISD,232903,E,Independent Town,33,Town-Remote,N
VALENTINE ISD,122902,H,Rural,43,Rural-Remote,N
VALLEY MILLS ISD,018904,H,Rural,42,Rural-Distant,N
VALLEY VIEW ISD,049903,H,Rural,42,Rural-Distant,N
VALLEY VIEW ISD,108916,D,Other Central City Suburban,21,Suburb-Large,N
VALOR PUBLIC SCHOOLS,227829,I,Charter School Districts,11,City-Large,Y
VAN ALSTYNE ISD,091908,D,Other Central City Suburban,41,Rural-Fringe,N
VAN ISD,234906,D,Other Central City Suburban,32,Town-Distant,N
VAN VLECK ISD,158906,G,Non-metropolitan Stable,41,Rural-Fringe,N
VANGUARD ACADEMY,108808,I,Charter School Districts,21,Suburb-Large,Y
VEGA ISD,180902,H,Rural,43,Rural-Remote,N
VENUS ISD,126908,D,Other Central City Suburban,31,Town-Fringe,N
VERIBEST ISD,226908,H,Rural,42,Rural-Distant,N
VERNON ISD,244903,G,Non-metropolitan Stable,33,Town-Remote,N
VICTORIA ISD,235902,E,Independent Town,13,City-Small,N
VIDOR ISD,181907,D,Other Central City Suburban,22,Suburb-Midsize,N
VILLAGE TECH SCHOOLS,057847,I,Charter School Districts,21,Suburb-Large,Y
VISTA DEL FUTURO CHARTER SCHOOL,071809,I,Charter School Districts,11,City-Large,Y
VYSEHRAD ISD,143904,H,Rural,43,Rural-Remote,N
WACO CHARTER SCHOOL,161801,I,Charter School Districts,12,City-Midsize,Y
WACO ISD,161914,C,Other Central City,12,City-Midsize,N
WAELDER ISD,089905,H,Rural,43,Rural-Remote,N
WALCOTT ISD,059902,H,Rural,43,Rural-Remote,N
WALL ISD,226906,D,Other Central City Suburban,41,Rural-Fringe,N
WALLER ISD,237904,E,Independent Town,42,Rural-Distant,N
WALNUT BEND ISD,049908,H,Rural,42,Rural-Distant,N
WALNUT SPRINGS ISD,018905,H,Rural,43,Rural-Remote,N
WARREN ISD,229904,G,Non-metropolitan Stable,42,Rural-Distant,N
WASKOM ISD,102903,H,Rural,42,Rural-Distant,N
WATER VALLEY ISD,226905,H,Rural,42,Rural-Distant,N
WAXAHACHIE FAITH FAMILY ACADEMY,070801,I,Charter School Districts,11,City-Large,Y
WAXAHACHIE ISD,070912,C,Other Central City,21,Suburb-Large,N
WAYSIDE SCHOOLS,227803,I,Charter School Districts,11,City-Large,Y
WEATHERFORD ISD,184903,C,Other Central City,31,Town-Fringe,N
WEBB CISD,240904,H,Rural,43,Rural-Remote,N
WEIMAR ISD,045905,H,Rural,42,Rural-Distant,N
WELLINGTON ISD,044902,H,Rural,43,Rural-Remote,N
WELLMAN-UNION CISD,223904,F,Non-metropolitan Fast Growing,42,Rural-Distant,N
WELLS ISD,037909,H,Rural,42,Rural-Distant,N
WESLACO ISD,108913,D,Other Central City Suburban,21,Suburb-Large,N
WEST HARDIN COUNTY CISD,100908,H,Rural,42,Rural-Distant,N
WEST ISD,161916,G,Non-metropolitan Stable,41,Rural-Fringe,N
WEST ORANGE-COVE CISD,181906,G,Non-metropolitan Stable,22,Suburb-Midsize,N
WEST OSO ISD,178915,D,Other Central City Suburban,11,City-Large,N
WEST RUSK COUNTY CONSOLIDATED ISD,201914,G,Non-metropolitan Stable,42,Rural-Distant,N
WEST SABINE ISD,202905,H,Rural,43,Rural-Remote,N
WESTBROOK ISD,168903,H,Rural,42,Rural-Distant,N
WESTHOFF ISD,062905,H,Rural,43,Rural-Remote,N
WESTLAKE ACADEMY CHARTER SCHOOL,220810,I,Charter School Districts,41,Rural-Fringe,Y
WESTPHALIA ISD,073904,H,Rural,42,Rural-Distant,N
WESTWOOD ISD,001908,G,Non-metropolitan Stable,32,Town-Distant,N
WHARTON ISD,241904,G,Non-metropolitan Stable,32,Town-Distant,N
WHEELER ISD,242903,H,Rural,43,Rural-Remote,N
WHITE DEER ISD,033904,H,Rural,43,Rural-Remote,N
WHITE OAK ISD,092908,D,Other Central City Suburban,23,Suburb-Small,N
WHITE SETTLEMENT ISD,220920,B,Major Suburban,41,Rural-Fringe,N
WHITEFACE CISD,040902,H,Rural,43,Rural-Remote,N
WHITEHOUSE ISD,212906,D,Other Central City Suburban,22,Suburb-Midsize,N
WHITESBORO ISD,091909,D,Other Central City Suburban,32,Town-Distant,N
WHITEWRIGHT ISD,091910,H,Rural,42,Rural-Distant,N
WHITHARRAL ISD,110908,H,Rural,42,Rural-Distant,N
WHITNEY ISD,109911,E,Independent Town,42,Rural-Distant,N
WICHITA FALLS ISD,243905,C,Other Central City,12,City-Midsize,N
WILDORADO ISD,180904,H,Rural,42,Rural-Distant,N
WILLIS ISD,170904,D,Other Central City Suburban,41,Rural-Fringe,N
WILLS POINT ISD,234907,D,Other Central City Suburban,32,Town-Distant,N
WILSON ISD,153907,H,Rural,42,Rural-Distant,N
WIMBERLEY ISD,105905,D,Other Central City Suburban,41,Rural-Fringe,N
WINDHAM SCHOOL DISTRICT,236903,N/A,N/A,32,Town-Distant,N
WINDTHORST ISD,005904,H,Rural,42,Rural-Distant,N
WINFREE ACADEMY CHARTER SCHOOLS,057828,I,Charter School Districts,21,Suburb-Large,Y
WINK-LOVING ISD,248902,H,Rural,42,Rural-Distant,N
WINNSBORO ISD,250907,E,Independent Town,32,Town-Distant,N
WINONA ISD,212910,D,Other Central City Suburban,41,Rural-Fringe,N
WINTERS ISD,200904,H,Rural,32,Town-Distant,N
WODEN ISD,174906,H,Rural,42,Rural-Distant,N
WOLFE CITY ISD,116909,H,Rural,43,Rural-Remote,N
WOODSBORO ISD,196902,H,Rural,42,Rural-Distant,N
WOODSON ISD,224902,H,Rural,43,Rural-Remote,N
WOODVILLE ISD,229903,G,Non-metropolitan Stable,33,Town-Remote,N
WORTHAM ISD,081905,H,Rural,42,Rural-Distant,N
WYLIE ISD,043914,D,Other Central City Suburban,21,Suburb-Large,N
WYLIE ISD,221912,D,Other Central City Suburban,12,City-Midsize,N
YANTIS ISD,250905,H,Rural,43,Rural-Remote,N
YELLOWSTONE COLLEGE PREPARATORY,101873,I,Charter School Districts,11,City-Large,Y
YES PREP PUBLIC SCHOOLS INC,101845,I,Charter School Districts,11,City-Large,Y
YOAKUM ISD,062903,G,Non-metropolitan Stable,32,Town-Distant,N
YORKTOWN ISD,062904,H,Rural,43,Rural-Remote,N
YSLETA ISD,071905,A,Major Urban,11,City-Large,N
ZAPATA COUNTY ISD,253901,D,Other Central City Suburban,33,Town-Remote,N
ZAVALLA ISD,003906,H,Rural,43,Rural-Remote,N
ZEPHYR ISD,025906,H,Rural,42,Rural-Distant,N
