Table with column headers in row 3,,,,,,
"2020 Poverty Estimates for School districts                                                                                                                                                       Source: U.S. Census Bureau, Small Area Income and Poverty Program (SAIPE)                                                                                                              Release date:   December 2021",,,,,,
State Postal Code,State FIPS Code,District ID,Name,Estimated Total Population,Estimated Population 5-17,Estimated number of relevant children 5 to 17 years old in poverty who are related to the householder
AZ,04,00870,Ash Creek Elementary District,683,47,8
AZ,04,00910,Ash Fork Joint Unified District,"2,022",260,63
AZ,04,00960,Avondale Elementary District,"53,570","7,887","1,419"
AZ,04,01000,Bagdad Unified School District,"2,435",452,30
AZ,04,01050,Balsz Elementary District,"34,830","3,884","1,187"
AZ,04,01080,Beaver Creek Elementary District,"5,477",736,101
AZ,04,00212,Benson Unified School District,"7,954","1,116",250
AZ,04,01160,Bicentennial Union High School District,"11,449",300,69
AZ,04,01180,Bisbee Unified District,"6,867",767,159
AZ,04,01230,Blue Elementary District,42,0,0
AZ,04,06580,Blue Ridge Unified District,"14,837","2,450",588
AZ,04,01260,Bonita Elementary District,"1,261",54,5
AZ,04,01290,Bouse Elementary District,"1,240",44,13
AZ,04,01330,Bowie Unified District,585,79,18
AZ,04,01380,Buckeye Elementary District,"45,167","6,209",919
AZ,04,01410,Buckeye Union High School District,"78,927","4,558",490
AZ,04,01500,Bullhead City School District,"43,564","3,384","1,027"
AZ,04,01600,Camp Verde Unified District,"13,037","1,775",316
AZ,04,01650,Canon Elementary District,"3,321",333,90
AZ,04,01680,Cartwright Elementary District,"134,405","22,517","6,105"
AZ,04,01710,Casa Grande Elementary District,"77,761","9,941","1,670"
AZ,04,01740,Casa Grande Union High School District,"110,975","5,863",808
AZ,04,01760,Catalina Foothills Unified District,"33,772","4,616",210
AZ,04,00001,Cave Creek Unified District,"67,385","9,172",579
AZ,04,01810,Cedar Unified District,"7,618","1,575",524
AZ,04,01870,Chandler Unified District,"264,834","48,153","3,790"
AZ,04,01920,Chevelon Butte School District,690,27,2
AZ,04,01940,Chinle Unified District,"20,304","4,525","1,976"
AZ,04,00003,Chino Valley Unified District,"24,493","3,415",469
AZ,04,00004,Clarkdale-Jerome Elementary District,"4,286",326,44
AZ,04,02130,Cochise Elementary District,254,31,4
AZ,04,00021,Colorado City Unified District,"6,655","2,287",635
AZ,04,00082,Colorado River Union High School District,"69,845","2,642",570
AZ,04,02190,Concho Elementary District,"2,486",271,135
AZ,04,02220,Congress Elementary District,"2,777",205,12
AZ,04,02250,Continental Elementary District,"28,190",682,60
AZ,04,02320,Coolidge Unified District,"23,198","4,419",835
AZ,04,02370,Cottonwood-Oak Creek Elementary District,"33,529","2,910",408
AZ,04,02400,Crane Elementary District,"48,164","6,734","1,189"
AZ,04,02430,Creighton Elementary District,"79,148","9,974","2,643"
AZ,04,02460,Crown King Elementary District,198,14,2
AZ,04,07750,Deer Valley Unified District,"286,754","50,785","4,630"
AZ,04,02490,Double Adobe Elementary District,468,81,12
AZ,04,02530,Douglas Unified District,"21,278","4,212","1,262"
AZ,04,02600,Duncan Unified District,"2,935",528,69
AZ,04,02690,Dysart Unified District,"196,313","35,314","4,216"
AZ,04,02710,Eagle Elementary District,48,4,0
AZ,04,02760,Elfrida Elementary District,"1,088",116,20
AZ,04,02790,Eloy Elementary District,"8,499","1,171",309
AZ,04,02820,Empire Elementary District,485,70,16
AZ,04,02860,Flagstaff Unified District,"93,808","12,737","1,354"
AZ,04,02920,Florence Unified School District,"111,713","18,584","1,941"
AZ,04,03010,Flowing Wells Unified District,"32,477","5,128","1,331"
AZ,04,03150,Fort Huachuca Accommodation District,"5,445",667,41
AZ,04,03200,Fort Thomas Unified District,"2,676",644,155
AZ,04,03040,Fountain Hills Unified District,"27,606","2,831",221
AZ,04,03060,Fowler Elementary District,"35,693","5,937","1,308"
AZ,04,03080,Fredonia-Moccasin Unified District,"3,011",452,124
